Node_ID	9301253	cp_level	cp_r_citing_zero	cp_r_citing_nonzero	tr_citing	cp_r_cited_zero	cp_r_cited_nonzero	tr_cited	cp_level_bdid-cit_hepph_cpm_0	cp_r_citing_zero_bdid-cit_hepph_cpm_0	cp_r_citing_nonzero_bdid-cit_hepph_cpm_0	tr_citing_bdid-cit_hepph_cpm_0	cp_r_cited_zero_bdid-cit_hepph_cpm_0	cp_r_cited_nonzero_bdid-cit_hepph_cpm_0	tr_cited_bdid-cit_hepph_cpm_0	11	network_degree	network_indegree	network_outdegree	cluster_degree	cluster_indegree	cluster_outdegree	cp_level_bdid_clustered-cit_hepph_cpm_0	cp_r_citing_zero_bdid_clustered-cit_hepph_cpm_0	cp_r_citing_nonzero_bdid_clustered-cit_hepph_cpm_0	tr_citing_bdid_clustered-cit_hepph_cpm_0	cp_r_cited_zero_bdid_clustered-cit_hepph_cpm_0	cp_r_cited_nonzero_bdid_clustered-cit_hepph_cpm_0	tr_cited_bdid_clustered-cit_hepph_cpm_0	cp_level_bdid-cit_hepph_cpm_0	cp_r_citing_zero_bdid-cit_hepph_cpm_0	cp_r_citing_nonzero_bdid-cit_hepph_cpm_0	tr_citing_bdid-cit_hepph_cpm_0	cp_r_cited_zero_bdid-cit_hepph_cpm_0	cp_r_cited_nonzero_bdid-cit_hepph_cpm_0	tr_cited_bdid-cit_hepph_cpm_0	100	network_degree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	network_indegree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	network_outdegree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	cluster_degree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	cluster_indegree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	cluster_outdegree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	cp_level_bdid_clustered-cit_hepph_cpm_0	cp_r_citing_zero_bdid_clustered-cit_hepph_cpm_0	cp_r_citing_nonzero_bdid_clustered-cit_hepph_cpm_0	tr_citing_bdid_clustered-cit_hepph_cpm_0	cp_r_cited_zero_bdid_clustered-cit_hepph_cpm_0	cp_r_cited_nonzero_bdid_clustered-cit_hepph_cpm_0	tr_cited_bdid_clustered-cit_hepph_cpm_0	cp_level_bdid-cit_hepph_cpm_0	cp_r_citing_zero_bdid-cit_hepph_cpm_0	cp_r_citing_nonzero_bdid-cit_hepph_cpm_0	tr_citing_bdid-cit_hepph_cpm_0	cp_r_cited_zero_bdid-cit_hepph_cpm_0	cp_r_cited_nonzero_bdid-cit_hepph_cpm_0	tr_cited_bdid-cit_hepph_cpm_0	297	network_degree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	network_indegree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	network_outdegree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	cluster_degree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	cluster_indegree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	cluster_outdegree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	cp_level_bdid_clustered-cit_hepph_modularity	cp_r_citing_zero_bdid_clustered-cit_hepph_modularity	cp_r_citing_nonzero_bdid_clustered-cit_hepph_modularity	tr_citing_bdid_clustered-cit_hepph_modularity	cp_r_cited_zero_bdid_clustered-cit_hepph_modularity	cp_r_cited_nonzero_bdid_clustered-cit_hepph_modularity	tr_cited_bdid_clustered-cit_hepph_modularity	cp_level_bdid-cit_hepph_modularity	cp_r_citing_zero_bdid-cit_hepph_modularity	cp_r_citing_nonzero_bdid-cit_hepph_modularity	tr_citing_bdid-cit_hepph_modularity	cp_r_cited_zero_bdid-cit_hepph_modularity	cp_r_cited_nonzero_bdid-cit_hepph_modularity	tr_cited_bdid-cit_hepph_modularity	6	network_degree_degstats-cit_hepph_cleaned-cit_hepph_modularity	network_indegree_degstats-cit_hepph_cleaned-cit_hepph_modularity	network_outdegree_degstats-cit_hepph_cleaned-cit_hepph_modularity	cluster_degree_degstats-cit_hepph_cleaned-cit_hepph_modularity	cluster_indegree_degstats-cit_hepph_cleaned-cit_hepph_modularity	cluster_outdegree_degstats-cit_hepph_cleaned-cit_hepph_modularity
1001	9212308.0	39.0	4.0	35.0	269.0	2.0	37.0	361.0	43	4	39	287	2	41	373	3.0	72	43	29	68.0	39.0	29.0	36.0	3.0	33.0	265.0	0.0	36.0	354.0	43	4	39	287	2	41	373	19.0	72	43	29	64.0	36.0	28.0	30.0	1.0	29.0	252.0	0.0	30.0	293.0	43	4	39	287	2	41	373	20.0	72	43	29	54.0	30.0	24.0	39	4	35	269	2	37	355	43	4	39	287	2	41	373	1.0	72	43	29	67	39	28
1002	9303309.0	106.0	22.0	84.0	502.0	10.0	96.0	814.0	118	22	96	533	14	104	849	0.0	144	118	26	132.0	106.0	26.0	64.0	8.0	56.0	336.0	2.0	62.0	631.0	118	22	96	533	14	104	849	4.0	144	118	26	88.0	64.0	24.0	49.0	6.0	43.0	271.0	0.0	49.0	582.0	118	22	96	533	14	104	849	16.0	144	118	26	73.0	49.0	24.0	67	12	55	306	8	59	546	118	22	96	533	14	104	849	0.0	144	118	26	89	67	22
1003	9311243.0	6.0	3.0	3.0	3.0	0.0	6.0	16.0	6	3	3	3	0	6	16	1.0	24	6	18	24.0	6.0	18.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	6	3	3	3	0	6	16	6.0	24	6	18	17.0	1.0	16.0	5.0	2.0	3.0	3.0	0.0	5.0	10.0	6	3	3	3	0	6	16	480.0	24	6	18	8.0	5.0	3.0	6	3	3	3	0	6	16	6	3	3	3	0	6	16	2.0	24	6	18	24	6	18
1004		2.0	1.0	1.0	1.0	2.0	0.0	0.0	2	1	1	1	2	0	0	16.0	2	2	0	2.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	2	1	1	1	2	0	0	322.0	2	2	0	1.0	1.0	0.0	2.0	1.0	1.0	1.0	2.0	0.0	0.0	2	1	1	1	2	0	0	1173.0	2	2	0	2.0	2.0	0.0	2	1	1	1	2	0	0	2	1	1	1	2	0	0	6.0	2	2	0	2	2	0
1005	9307208.0	54.0	7.0	47.0	215.0	10.0	44.0	194.0	63	9	54	233	8	55	220	0.0	86	63	23	74.0	54.0	20.0	48.0	7.0	41.0	179.0	8.0	40.0	158.0	63	9	54	233	8	55	220	18.0	86	63	23	62.0	48.0	14.0	16.0	3.0	13.0	43.0	2.0	14.0	32.0	63	9	54	233	8	55	220	77.0	86	63	23	20.0	16.0	4.0	54	7	47	215	10	44	193	63	9	54	233	8	55	220	4.0	86	63	23	73	54	19
1006	9802334.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2	1	1	1	1	1	1	2.0	5	2	3	5.0	2.0	3.0								2	1	1	1	1	1	1	1288.0	5	2	3				2.0	1.0	1.0	1.0	2.0	0.0	0.0	2	1	1	1	1	1	1	709.0	5	2	3	2.0	2.0	0.0	2	1	1	1	1	1	1	2	1	1	1	1	1	1	3.0	5	2	3	5	2	3
1007	9802334.0								2	2	0	0	2	0	0	848.0	5	2	3				1.0	1.0	0.0	0.0	1.0	0.0	0.0	2	2	0	0	2	0	0	105.0	5	2	3	1.0	1.0	0.0								2	2	0	0	2	0	0	3249.0	5	2	3				0	0	0	0	0	0	0	2	2	0	0	2	0	0	3.0	5	2	3	3	0	3
1008	9405414.0	4.0	4.0	0.0	0.0	1.0	3.0	4.0	5	5	0	0	1	4	5	17.0	12	5	7	9.0	4.0	5.0	4.0	4.0	0.0	0.0	1.0	3.0	4.0	5	5	0	0	1	4	5	51.0	12	5	7	9.0	4.0	5.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	5	5	0	0	1	4	5	468.0	12	5	7	3.0	1.0	2.0	4	4	0	0	1	3	4	5	5	0	0	1	4	5	9.0	12	5	7	9	4	5
1009	9802334.0	4.0	3.0	1.0	1.0	3.0	1.0	1.0	5	4	1	1	3	2	4	2.0	11	5	6	7.0	4.0	3.0								5	4	1	1	3	2	4	1750.0	11	5	6				1.0	1.0	0.0	0.0	1.0	0.0	0.0	5	4	1	1	3	2	4	2839.0	11	5	6	1.0	1.0	0.0	4	3	1	1	3	1	1	5	4	1	1	3	2	4	3.0	11	5	6	7	4	3
1010	9406423.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	7.0	7	0	7	3.0	0.0	3.0								0	0	0	0	0	0	0	985.0	7	0	7											0	0	0	0	0	0	0	4087.0	7	0	7				0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	7	0	7	4	0	4
